txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13
2020-11-02,False,2518.25,2518.25,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5,2781.55
2020-11-03,False,1942.5,1942.5,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25,2101.5
2020-11-04,False,2300.55,2300.55,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25,3149.25
2020-11-05,False,2509.0,2509.0,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75,2580.25
2020-11-06,False,2051.25,2051.25,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0,3355.75
2020-11-07,False,3160.0,3160.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3,1738.0
2020-11-08,False,3582.0,3582.0,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0,2991.3
2020-11-09,False,1976.75,1976.75,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25,2396.0
2020-11-10,False,2126.25,2126.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55,1930.25
2020-11-11,False,2247.25,2247.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55,2914.55
2020-11-12,False,3349.25,3349.25,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0,1779.55
2020-11-13,False,1990.75,1990.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25,2819.0
2020-11-14,False,1909.75,1909.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5,2518.25
2020-11-15,False,2452.75,2452.75,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55,1942.5
2020-11-16,False,2780.0,2780.0,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0,2300.55
2020-11-17,False,2282.5,2282.5,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25,2509.0
2020-11-18,False,1806.0,1806.0,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0,2051.25
2020-11-19,False,1761.75,1761.75,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0,3160.0
2020-11-20,False,1838.25,1838.25,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75,3582.0
2020-11-21,False,2757.5,2757.5,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25,1976.75
2020-11-22,False,3544.75,3544.75,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25,2126.25
2020-11-23,False,2951.5,2951.5,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25,2247.25
2020-11-24,False,2535.75,2535.75,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75,3349.25
2020-11-25,False,3224.0,3224.0,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75,1990.75
2020-11-26,False,3117.25,3117.25,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75,1909.75
2020-11-27,False,2943.5,2943.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0,2452.75
2020-11-28,False,1742.5,1742.5,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5,2780.0
2020-11-29,False,1839.6,1839.6,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0,2282.5
2020-11-30,False,2247.5,2247.5,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75,1806.0
2020-12-01,False,1897.55,1897.55,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25,1761.75
2020-12-02,False,1890.75,1890.75,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5,1838.25
2020-12-03,False,2530.0,2530.0,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75,2757.5
2020-12-04,False,2019.75,2019.75,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5,3544.75
2020-12-05,False,2229.0,2229.0,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75,2951.5
2020-12-06,False,3456.75,3456.75,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0,2535.75
2020-12-07,False,1743.05,1743.05,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25,3224.0
2020-12-08,False,2103.3,2103.3,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5,3117.25
2020-12-09,False,3334.0,3334.0,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5,2943.5
2020-12-10,False,2935.75,2935.75,2935.75,3334.0,2103.3,1743.05,3456.75,2229.0,2019.75,2530.0,1890.75,1897.55,2247.5,1839.6,1742.5
